ID,Cer d16:1/16:0,Cer d16:1/18:0,Cer d16:1/20:0,Cer d16:1/22:0,Cer d16:1/23:0,Cer d16:1/24:0,Cer d16:1/24:1,Cer d16:1/25:1,Cer d16:1/26:0,Cer d16:1/26:1,Cer d18:0/16:0,Cer d18:0/18:0,Cer d18:0/20:0,Cer d18:0/22:0,Cer d18:0/22:1,Cer d18:0/23:0,Cer d18:0/24:0,Cer d18:0/24:1,Cer d18:0/25:0,Cer d18:0/26:0,Cer d18:1/14:0,Cer d18:1/16:0,Cer d18:1/18:0,Cer d18:1/20:0,Cer d18:1/22:0,Cer d18:1/23:0,Cer d18:1/23:1,Cer d18:1/24:0,Cer d18:1/24:1,Cer d18:1/25:0,Cer d18:1/25:1,Cer d18:1/26:0,Cer d18:1/26:1,Cer d18:2/14:0,Cer d18:2/16:0,Cer d18:2/18:0,Cer d18:2/20:0,Cer d18:2/22:0,Cer d18:2/23:0,Cer d18:2/24:0,Cer d18:2/24:1,Cer d18:2/25:0,Cer d18:2/25:1,Cer d18:2/26:0,Cer d18:2/26:1,Hex2Cer d16:1/16:0,Hex2Cer d18:1/14:0,Hex2Cer d18:1/16:0,Hex2Cer d18:1/18:0,Hex2Cer d18:1/20:0,Hex2Cer d18:1/22:0,Hex2Cer d18:1/23:0,Hex2Cer d18:1/24:0,Hex2Cer d18:1/24:1,Hex2Cer d18:2/16:0,Hex2Cer d18:2/24:1,GM3 d16:1/14:0,GM3 d16:1/16:0,GM3 d16:1/18:0,GM3 d16:1/20:0,GM3 d16:1/22:0,GM3 d16:1/24:0,GM3 d18:1/14:0,GM3 d18:1/16:0,GM3 d18:1/18:0,GM3 d18:1/20:0,GM3 d18:1/22:0,GM3 d18:1/24:0,GM3 d18:1/24:1,GM3 d18:2/16:0,GM3 d18:2/18:0,GM3 d18:2/24:0,Hex1Cer d16:1/16:0,Hex1Cer d16:1/20:0,Hex1Cer d16:1/22:0,Hex1Cer d16:1/23:0,Hex1Cer d16:1/24:0,Hex1Cer d16:1/24:1,Hex1Cer d18:0/16:0,Hex1Cer d18:0/16:1,Hex1Cer d18:0/22:0,Hex1Cer d18:0/23:0,Hex1Cer d18:0/24:0,Hex1Cer d18:0/24:1,Hex1Cer d18:1/14:0,Hex1Cer d18:1/16:0,Hex1Cer d18:1/18:0,Hex1Cer d18:1/20:0,Hex1Cer d18:1/22:0,Hex1Cer d18:1/23:0,Hex1Cer d18:1/23:1,Hex1Cer d18:1/24:0,Hex1Cer d18:1/24:1,Hex1Cer d18:1/25:0,Hex1Cer d18:1/25:1,Hex1Cer d18:1/26:0,Hex1Cer d18:1/26:1,Hex1Cer d18:2/16:0,Hex1Cer d18:2/20:0,Hex1Cer d18:2/22:0,Hex1Cer d18:2/23:0,Hex1Cer d18:2/24:0,Hex1Cer d18:2/24:1,Hex1Cer d18:2/25:0,SM d16:1/16:0,SM d16:1/18:0,SM d16:1/20:0,SM d16:1/22:0,SM d16:1/23:0,SM d16:1/24:0,SM d16:1/24:1,SM d18:0/16:0,SM d18:1/12:0,SM d18:1/14:0,SM d18:1/16:0,SM d18:1/18:0,SM d18:1/20:0,SM d18:1/22:0,SM d18:1/22:1,SM d18:1/23:0,SM d18:1/23:1,SM d18:1/24:0,SM d18:1/24:1,SM d18:2/14:0,SM d18:2/16:0,SM d18:2/18:0,SM d18:2/20:0,SM d18:2/22:0,SM d18:2/23:0,SM d18:2/24:0,SM d18:2/24:1,Sph d18:0,Sph d18:1
S1,0.001832181,0.002185681,0.006609402,0.02718963,0.017164626,0.070252319,0.020309325,0.000711453,0.000553639,0.000381225,0.000834934,0.001001228,0.0024799,0.007642555,0.002760684,0.005524922,0.021328385,0.004399359,0.000784246,0.000169497,0.000916469,0.04155292,0.018299707,0.028894312,0.273902785,0.217083339,0.001041252,1.058232327,0.198708752,0.037347609,0.006378092,0.007625748,0.002609267,0.00105255,0.005436277,0.003774561,0.008228915,0.055330211,0.048686932,0.206090104,0.044156513,0.009709103,0.001167813,0.002216204,0.000760853,0.005851372,0.005173831,0.160951062,0.005180578,0.002043324,0.007035151,0.003231052,0.015554547,0.028071831,0.01817325,0.005989813,0.001545507,0.003469046,0.038033992,0.001305425,0.002167479,0.004954383,0.003469046,0.038033992,0.011196002,0.002167479,0.004954383,0.007480348,0.004522707,0.004963326,0.002267659,0.004522707,0.004032284,0.003843341,0.019044728,0.003219888,0.015111123,0.005994577,0.001080454,0.004232805,0.004512783,0.00173345,0.006933191,0.003342972,0.002765262,0.094193513,0.011043391,0.036352901,0.292686581,0.092796696,0.001411305,0.402489656,0.213539978,0.005877431,0.001820719,0.002659827,0.001470546,0.006972171,0.005452262,0.027674267,0.019152232,0.060649238,0.024431149,0.001498302,2.77407826,1.137287657,0.702878429,2.135592674,1.306364427,1.331912041,1.377255489,0.651430002,0.123360342,1.569305544,36.14938454,3.576542836,1.815018146,6.199743656,0.075504581,6.220338784,0.183958663,6.709708396,10.69583665,0.350497214,9.385752871,1.979479565,0.543776327,4.853721362,1.811863796,5.503345387,5.159276056,0.012023596,0.022908576
S2,0.001367295,0.001605267,0.003260313,0.023284709,0.005163477,0.041614887,0.008178557,3.30E-05,0.0004315,0.000171038,0.000772989,0.00085264,0.004080448,0.01302725,0.003707443,0.003235322,0.015465339,0.003773926,0.000435959,0.00012883,0.000431684,0.046327986,0.016082739,0.021074403,0.225729314,0.125933121,0.000784998,0.773098555,0.127862409,0.019072475,0.002932211,0.005000649,0.001431829,0.000465938,0.004914004,0.003216758,0.003230262,0.035232,0.016248126,0.107686568,0.018495985,0.003211404,0.000379856,0.000957887,0.000298193,0.00876549,0.002611582,0.175567963,0.002134974,0.002321796,0.010537925,0.002533117,0.024962382,0.024010497,0.018240378,0.005287475,0.000553776,0.002962476,0.037753264,0.001545958,0.003011778,0.008556445,0.002962476,0.037753264,0.017484848,0.003011778,0.008556445,0.007046316,0.008616787,0.003767902,0.001559161,0.008616787,0.003260845,0.003308124,0.017062233,0.002737802,0.01342857,0.003136238,0.001823386,0.005102323,0.004327667,0.002711052,0.007123372,0.003235953,0.000916302,0.130477783,0.012722826,0.018575523,0.315795683,0.096699313,0.00073454,0.314887356,0.260723897,0.005081362,0.000638702,0.001667509,0.00107072,0.00505186,0.005040365,0.041295803,0.012108699,0.057239476,0.020447979,0.00143847,2.085059153,0.620088224,0.436594537,1.884189437,0.311384832,0.756268359,1.103098822,0.630625193,0.037979493,0.477378107,33.09329463,2.357556758,2.248793296,6.219494403,0.150558739,2.064621725,0.126168041,5.809131727,7.786585063,0.098615557,6.180013682,1.848345303,0.526849012,4.545075399,0.717629131,3.045489039,2.787175173,0.024511023,0.082936619
S3,0.001361532,0.002492004,0.006519285,0.033655245,0.012500963,0.0735008,0.018019639,0.000266147,0.000602556,0.000272746,0.000784988,0.002166603,0.011295159,0.017390778,0.013346987,0.008063727,0.024547517,0.010775777,0.000619747,0.000135411,0.000567144,0.049182492,0.027764743,0.03179395,0.216608948,0.198748525,0.001492379,1.000294506,0.265362537,0.025217793,0.004929785,0.005648548,0.002050895,0.000901019,0.004543797,0.003655395,0.006106577,0.041481254,0.026736556,0.131819138,0.0480148,0.003717695,0.000775186,0.000996507,0.00043611,0.01132563,0.005372946,0.306373776,0.004550183,0.002366656,0.017112814,0.003379931,0.021986369,0.035939124,0.023245526,0.007037217,0.001505923,0.004387734,0.043885673,0.001995701,0.004399985,0.006185628,0.004387734,0.043885673,0.015666063,0.004399985,0.006185628,0.01336716,0.004126215,0.005332904,0.004978703,0.004126215,0.00632406,0.006224436,0.032471171,0.00614011,0.027494818,0.011151259,0.002963195,0.004620727,0.010248037,0.00395623,0.011839068,0.00787187,0.002443383,0.164993531,0.017951405,0.041239076,0.456816473,0.189015503,0.002404383,0.625355624,0.468248657,0.00877461,0.002664903,0.002296826,0.002151332,0.013490757,0.007470533,0.043016275,0.018308573,0.086314126,0.03532684,0.000998133,1.994793664,1.264573237,0.623473287,1.811422395,0.528539911,1.054762204,1.383414591,0.566455256,0.095014923,1.067759294,34.36973805,3.449063478,1.870632573,4.447212344,0.166710678,2.232216601,0.096094479,5.734347709,8.614361166,0.182262144,6.14019673,1.776943969,0.527303283,2.542767456,1.018082171,2.613905548,3.642942718,0.022674911,0.063868941
S4,0.000858381,0.00351281,0.005867816,0.016191618,0.007903855,0.041780738,0.005743984,7.92E-05,0.000382236,0.000159565,0.000552006,0.000853234,0.005469844,0.007185013,0.00529274,0.002270143,0.012185795,0.002497519,0.000457043,8.14E-05,0.000406457,0.039172928,0.015347883,0.032233863,0.218364989,0.11729252,0.000675792,0.629709876,0.136550865,0.022661935,0.002708589,0.004161956,0.001440844,0.000359552,0.003466102,0.003953581,0.004790331,0.029350982,0.020068081,0.079384298,0.019063145,0.003003173,0.000419974,0.000743807,0.00027717,0.010077764,0.00305397,0.209880947,0.003181976,0.001877663,0.006763982,0.00178819,0.018786761,0.029713404,0.012572634,0.004424767,0.000618343,0.002598562,0.028596917,0.001738652,0.003410141,0.007942261,0.002598562,0.028596917,0.013340615,0.003410141,0.007942261,0.014154887,0.005365857,0.002789809,0.002682566,0.005365857,0.003349573,0.005034305,0.020023224,0.008380956,0.024110048,0.004075578,0.001729829,0.00735699,0.00817918,0.003126721,0.010112913,0.006363318,0.001291713,0.12779804,0.019378239,0.036129848,0.471771228,0.190117005,0.002736251,0.725570655,0.390306205,0.007960097,0.002122093,0.003090775,0.002457788,0.006567902,0.007401509,0.036955684,0.016534963,0.081099286,0.018304543,0.001811095,1.659872335,1.123360506,0.645249577,1.935848986,0.279319296,0.858912008,0.950553018,0.596176619,0.027591134,0.528133463,35.40713312,3.628264981,2.349077684,7.078874412,0.151051808,2.222836314,0.11767197,5.239196672,6.049891929,0.082577949,4.232198263,2.468649529,0.750156172,3.458203919,0.826845754,2.8196151,3.779645654,0.019026256,0.040809439
S5,0.001779187,0.002861309,0.007761635,0.026535098,0.008162978,0.030643189,0.012094272,0.000346535,0.000303614,0.000151758,0.000698829,0.002184919,0.009196146,0.017782494,0.005655537,0.007645194,0.020653298,0.008236634,0.000522359,0.000106115,0.000445343,0.031631363,0.028428743,0.036502532,0.221239936,0.208348027,0.001345081,0.58776262,0.184314689,0.019066952,0.005273761,0.003383898,0.001759578,0.000393008,0.003436757,0.002537256,0.004010747,0.027109438,0.01769629,0.064715662,0.025937128,0.002904612,0.000913856,0.000504511,0.000206861,0.007489866,0.003314826,0.160546489,0.003247007,0.002390346,0.011127763,0.003024379,0.016877756,0.018734074,0.013827431,0.002952231,0.000409558,0.001943523,0.021308709,0.001517786,0.001765922,0.003396525,0.001943523,0.021308709,0.007532602,0.001765922,0.003396525,0.006210099,0.001476707,0.002576729,0.00189066,0.001476707,0.003857378,0.003310173,0.012804945,0.003646462,0.011218814,0.002539563,0.001336425,0.003529179,0.002427221,0.000962532,0.005519692,0.003072965,0.001322652,0.090047195,0.00806129,0.021415056,0.2832731,0.095063245,0.000631156,0.318108445,0.114068773,0.005353628,0.001256065,0.001445547,0.001055202,0.004112215,0.002236135,0.014340515,0.010065872,0.042368371,0.01035421,0.000522352,1.825104717,1.252968243,0.439014219,1.352387367,0.31183098,0.535847034,0.856056983,0.459892562,0.040121737,0.587231512,22.10659717,2.548438224,1.621057092,4.242789561,0.179589387,3.026897784,0.146915557,3.182397962,4.969898102,0.162580553,3.877972946,1.280757114,0.331416313,2.301319857,0.736734512,1.350168334,1.945205697,0.021906763,0.053703384
S6,0.001116059,0.001821606,0.00454386,0.010464144,0.007690648,0.024292082,0.00982754,0.000378485,0.000585542,0.000341318,0.000522978,0.000557582,0.004339873,0.005449181,0.003728789,0.003668838,0.010519915,0.00500225,0.000533774,0.00010813,0.000710728,0.041777744,0.012830101,0.018205732,0.16264367,0.109048078,0.001036668,0.456858012,0.118578074,0.024722758,0.004551717,0.005164329,0.002272119,0.000579746,0.004112902,0.002328023,0.002329897,0.021121988,0.020234625,0.059850896,0.021393039,0.003400162,0.000770328,0.000943771,0.000370287,0.004776855,0.003445709,0.152438877,0.003306422,0.001830399,0.010338051,0.00264327,0.012696106,0.024601913,0.012649298,0.006683106,0.000973577,0.00215398,0.028187733,0.000567546,0.001910933,0.001562259,0.00215398,0.028187733,0.009267967,0.001910933,0.001562259,0.00649642,0.004600225,0.002564422,0.002300516,0.004600225,0.003446781,0.00427721,0.013615618,0.004032522,0.013320749,0.00652064,0.001905754,0.002527227,0.002999896,0.002256283,0.005225235,0.002743236,0.001204315,0.128905843,0.01433916,0.02697013,0.231835765,0.104044545,0.001339075,0.316319962,0.221431292,0.008095962,0.001641473,0.001901459,0.001433959,0.005928987,0.004297467,0.021973984,0.013095847,0.027467919,0.017733446,0.000943557,1.792245395,0.985963108,0.549671071,1.564881375,0.370811403,0.707577821,1.532893775,0.622110407,0.087000742,0.913576276,32.06780408,3.052757451,1.80261751,4.293366283,0.43724407,2.867204513,0.178849931,4.495312078,9.719769103,0.183311054,5.562497068,1.7247882,0.446060476,3.211980743,0.756745415,1.734566774,4.529602154,0.009238935,0.020832972
S7,0.001204934,0.003166086,0.005718917,0.017409719,0.006484655,0.025070382,0.013103939,0.000389048,0.000398312,0.000260289,0.001189355,0.001701006,0.008981266,0.008211611,0.008541978,0.004074126,0.012603058,0.006998286,0.000518892,0.000125959,0.000657114,0.050453258,0.030168175,0.028777414,0.168007849,0.120496753,0.001472923,0.46905163,0.160489395,0.017845471,0.004921184,0.00557802,0.002463879,0.000269017,0.002696122,0.002818231,0.004347224,0.023170459,0.027131452,0.065171196,0.024712322,0.002889884,0.000776084,0.001082951,0.000511662,0.008596697,0.005626247,0.200672876,0.002952713,0.001031286,0.008267821,0.001169994,0.011890255,0.020355615,0.015050627,0.003725166,0.000802636,0.002371054,0.023399368,0.000946535,0.002542269,0.004574179,0.002371054,0.023399368,0.008714128,0.002542269,0.004574179,0.010465688,0.005598613,0.00260067,0.002536011,0.005598613,0.002879853,0.002988588,0.015429239,0.003528429,0.012194881,0.004531549,0.0013264,0.003416506,0.002695365,0.000838648,0.004802836,0.004063216,0.001615089,0.118810068,0.010319105,0.016595458,0.260476146,0.074896545,0.001803422,0.246385952,0.256329135,0.005711207,0.002563912,0.001463527,0.001899189,0.004637186,0.001892714,0.016523924,0.007105843,0.03870045,0.02186756,0.000840269,1.897326596,1.330589393,0.662297425,1.51144327,0.29098918,0.761257593,1.07650399,0.572633907,0.065988822,0.800993628,23.97202302,3.489922296,1.923091737,5.875511377,0.207483412,1.971131669,0.262215951,3.814383459,9.01759826,0.181986907,5.4835834,1.993269642,0.572675072,2.977312626,0.607023805,2.157319178,4.551072791,0.029517328,0.08129325
S8,0.001927571,0.003292435,0.004432496,0.016836601,0.013414263,0.050829329,0.010524318,0.000424325,0.000378193,0.000273127,0.000719536,0.000738781,0.001819951,0.005450771,0.002469791,0.003312142,0.01029514,0.004142717,0.000460182,0.000101978,0.000402627,0.034167003,0.017193779,0.017974914,0.163716378,0.118668958,0.0012497,0.477361459,0.18518969,0.025149909,0.004197727,0.003787037,0.003133895,0.00042448,0.004580863,0.003286324,0.002396174,0.02575618,0.028229589,0.086720051,0.028323273,0.004441608,0.000740127,0.000844231,0.000662242,0.008584607,0.003869707,0.183368571,0.00208225,0.001277354,0.007282363,0.00297362,0.013521053,0.015978499,0.011716755,0.003046997,0.000772609,0.003199992,0.022332192,0.001176879,0.001482634,0.005880147,0.003199992,0.022332192,0.008564686,0.001482634,0.005880147,0.006899385,0.003017981,0.003145229,0.00219062,0.003017981,0.003388972,0.003008582,0.010894508,0.004124211,0.007405022,0.00395915,0.001406608,0.003168061,0.001867415,0.001235249,0.002616623,0.002835788,0.001136543,0.059080742,0.008641332,0.014605159,0.1431513,0.069202468,0.00253366,0.223150001,0.162608532,0.004054368,0.0020166,0.00122383,0.001219089,0.004489638,0.001719006,0.010682916,0.013494393,0.031979372,0.014427148,0.000379096,2.370728789,1.075051455,0.5770147,2.004340629,0.853193779,1.237439949,2.058475859,0.494342356,0.044912959,0.834021408,24.96641478,2.789797759,1.073896323,4.392601814,0.237487398,2.309221508,0.152345634,4.533984873,9.406214016,0.135511476,5.428752677,1.37755039,0.339276825,3.081995504,1.332950312,3.324382876,3.605972174,0.010754989,0.024054171
S9,0.000916022,0.002038622,0.005379218,0.018306295,0.006433634,0.040775324,0.00839118,0.000130999,0.000390109,0.000149164,0.000585436,0.001149476,0.003417003,0.007258019,0.006091112,0.003378211,0.01463368,0.004747833,0.000356745,0.000144279,0.000533955,0.036468561,0.014124292,0.030340653,0.21956027,0.128828611,0.000846057,0.704231432,0.167707959,0.018761372,0.003033719,0.004983375,0.00166074,0.000311875,0.003820938,0.002367211,0.004688845,0.030576897,0.02009792,0.111246645,0.038036747,0.002536489,0.00036435,0.000878295,0.000455109,0.013314714,0.005832836,0.280102523,0.003515352,0.00268547,0.013824166,0.003934256,0.024310064,0.031381835,0.023765426,0.007659367,0.000681403,0.003972237,0.03988312,0.000916148,0.002920179,0.007293914,0.003972237,0.03988312,0.012193314,0.002920179,0.007293914,0.010116185,0.004414339,0.004306972,0.003570384,0.004414339,0.004601981,0.004768826,0.023666822,0.004373138,0.021365709,0.003913253,0.003018753,0.005184131,0.009275616,0.001912838,0.010239576,0.005207719,0.001259022,0.168522642,0.017951265,0.039520067,0.491124191,0.107118159,0.001779167,0.611750044,0.310733718,0.007163097,0.002816348,0.002960923,0.002664342,0.007081742,0.005301575,0.041933995,0.016945123,0.085979058,0.030493717,0.001450885,1.445692919,0.83240299,0.558059895,1.51665354,0.30168453,0.557882953,0.756700636,0.59043267,0.026204728,0.684259496,30.90194238,2.864084092,1.705296803,4.339546896,0.241603107,1.640285814,0.145686726,4.400766779,9.171914667,0.117184557,5.761273804,1.7455333,0.556909627,3.122217615,0.718910421,2.290283283,3.817787337,0.034916005,0.065891488
S10,0.000951115,0.001905678,0.003773015,0.010875549,0.006495606,0.026760413,0.006659506,0.000330472,0.00036613,0.0001074,0.000514523,0.000712114,0.001776744,0.004789033,0.002446356,0.002843486,0.007824085,0.003730398,0.000504031,9.22E-05,0.00056472,0.027445406,0.014376623,0.019154434,0.130247225,0.113907879,0.001190676,0.42350978,0.118884439,0.021612891,0.005786005,0.004219333,0.002178213,0.000362901,0.003028654,0.002981083,0.004459326,0.022316161,0.025784587,0.088813312,0.03115267,0.004140297,0.0006647,0.001002542,0.000315574,0.003866177,0.003565081,0.125808432,0.002220857,0.000933942,0.006210529,0.001922493,0.008410901,0.014896802,0.010587232,0.006520307,0.0004948,0.002513942,0.020465582,0.0011726,0.001880879,0.004009488,0.002513942,0.020465582,0.011034864,0.001880879,0.004009488,0.00644999,0.00266424,0.00305377,0.002169322,0.00266424,0.001737496,0.001672161,0.006327261,0.002764484,0.007383172,0.003007514,0.001169689,0.004048433,0.001885467,0.000703808,0.003681651,0.002884791,0.000915957,0.076497278,0.012186135,0.020072466,0.15389383,0.057589034,0.001395218,0.228606538,0.16768762,0.004618142,0.001858318,0.001270215,0.001523974,0.004357191,0.003525531,0.022599945,0.012114727,0.041134652,0.020152834,0.000547413,1.491457523,1.141214051,0.510322189,1.152871244,0.496771443,0.456096456,1.315058901,0.487972091,0.041408997,0.889783988,27.49401031,2.642104185,1.275704916,3.687140764,0.253715034,1.616525774,0.121245482,2.91079718,6.76779646,0.236139013,5.561263704,1.683228861,0.590014514,2.547765162,0.987327242,2.184677619,4.156911424,0.01301535,0.038200885
